ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2,run_id
0,50000,0.8847,0.7591,0.0958,0.5245,0.7898,0.9292,0.2653,0.1394,300000.0,762570.3079758685,19018790.445997402,815412.5065749867,883562.4990034187,982885.9020385554,1149172.4522185025,1448346.1355151264,2207945.6947597396,4061879.9667206984,8440911.05672792,0.0,358160.2144270044,409875.4308768793,474359.0898080899,573723.5103058437,737644.7063065113,1042997.4378035136,1708927.4290105063,3574995.309493987,7853934.604070792,18516170.327656023,300000.0,50000,41099,36804,0.7361,1066890.5237030135,820296.5237030133,246594.0,0.0,0.0,0.0,0,203994.55651617036,37476,25483,25483,57.04479627118352,632494.9029477702,10020,11021,8817,298.55919257034645,15719659.447928919,2504,4595,2504,1268.7735535605887,0
1,50298,0.9329,0.7687,0.0947,0.5334,0.7983,0.9339,0.2649,0.1356,298715.4465767342,795067.1951113617,20173016.18536525,848775.5073298563,923894.908253921,1026315.7481239676,1194009.8355710504,1503280.2585702282,2268324.378746452,4226212.325157822,8806331.815779977,0.0,389698.262381248,442930.31027312856,509597.82982082054,612747.1270754546,773540.222524704,1083374.3771541957,1762765.2338955023,3693360.6457485314,8188310.5845655175,19674771.216795623,298715.0,50750,41800,37490,0.7454,1116452.7903575758,871342.0371087887,248246.5638177957,3135.810569008708,12423379.0,0.0058,9947,202195.2630972503,37742,25483,25483,57.808016147227406,662512.6792656909,10043,11722,9519,308.3670889851591,16661549.539086187,2513,4595,2488,1320.6826949747328,0
2,50637,0.9312,0.7806,0.0953,0.5442,0.8086,0.9394,0.2645,0.1307,292651.167310846,826187.5780677649,21224955.469877277,884782.182532134,957961.6754827867,1068862.9706844743,1229042.6312633483,1556618.6033589053,2305697.69208303,4371462.513187678,9147087.425157994,0.0,429188.13463767164,486399.55329870805,557172.4568413342,659888.6282412163,825088.1904166837,1125126.3211871115,1841067.306323754,3803591.8335106196,8650826.062854834,20611810.94907011,292651.0,51511,41830,37490,0.7404,1164553.9301622885,925934.5328959296,241752.04551242545,3132.648246066585,11098175.0,0.005,9739,197130.65544143622,38026,25483,25483,58.64860000022902,688291.078840405,10093,11752,9537,320.8218422716293,17683282.44601888,2518,4595,2470,1390.3931880279788,0
3,50983,0.9294,0.791,0.0969,0.5528,0.8176,0.9443,0.2647,0.1267,287300.1593606894,865767.5533810798,22136544.380549576,927904.4249132976,1003557.1693947986,1115908.2923538478,1284147.43828049,1606237.152542651,2360024.5566865327,4471268.030819756,9564939.297687225,0.0,476266.72515757417,534454.9330542567,610717.0215374933,714951.2936858452,878287.711437143,1188915.3860201708,1882412.6604245051,3924090.939501737,9051716.984308258,21621054.03507105,287300.0,52283,41845,37426,0.7341,1211363.7716833956,978623.7384296166,235805.56594253084,3065.532688751669,10193917.0,0.0045,9572,192645.38557213492,38306,25483,25483,59.520296803218166,717924.8710466002,10154,11767,9494,333.3192934745644,18664160.08378961,2523,4595,2449,1460.0344688093267,0
4,51270,0.9282,0.8012,0.0987,0.5619,0.8261,0.9488,0.2642,0.1227,282721.3609044689,910194.0001007781,23515004.8868435,979025.3612974312,1061099.4861364635,1179254.9939454999,1348564.8414676574,1663614.951777089,2413706.2877495904,4510834.683106715,9978681.52653967,0.0,529602.290788898,592915.6509568144,671441.2551022288,778837.8204997833,949609.2903506226,1268345.7262393585,1978794.449783472,4008086.005584987,9500715.629494699,23046222.002998196,282721.0,53067,41857,37348,0.7285,1266496.9013357547,1038668.1305829365,230814.66751274344,2985.896759925115,9946801.0,0.0043,9394,188819.03206971264,38572,25483,25483,60.39533188988761,754605.0898695115,10168,11779,9434,346.09968109131813,19753890.85877391,2530,4595,2431,1525.7709166834886,0
5,51493,0.9264,0.8088,0.1007,0.5656,0.8324,0.9524,0.2669,0.1199,278852.04439426993,961564.4160457186,24977648.169879746,1036301.8453777691,1124653.8359057896,1248578.8559966674,1421529.491750917,1741872.8673697936,2488796.3476420166,4662140.661445174,10519644.494074766,0.0,588322.7520900641,658302.5449274002,739881.2422821452,850068.9513098497,1027490.4116334176,1350479.9937966776,2081079.557752731,4174511.192937778,9961940.405286226,24366520.919620164,278852.0,53863,41868,37264,0.7237,1314975.3530285961,1091160.5358289203,226729.4077777425,2914.5905780666308,9838955.0,0.0042,9208,185904.22034104398,38758,25483,25483,61.35971078218927,793829.6730577892,10206,11790,9372,358.9632679972097,20721599.224316142,2529,4595,2409,1603.2476661487747,0
6,51753,0.9256,0.8175,0.1025,0.5741,0.8399,0.9561,0.2658,0.1162,275700.13299609476,1020752.4377283874,26282416.51520288,1102433.843069537,1193894.0122862833,1321764.547896653,1508405.4321704465,1834510.4874516586,2578070.114035445,4797348.964164583,10879398.90841869,0.0,650170.1746925954,722365.7602183938,811084.7667182743,930363.3527194136,1108155.0752767785,1434393.4456680194,2154941.8271686956,4306697.846110941,10305385.324731657,25540862.294019654,275700.0,54670,41885,37187,0.7185,1378252.6399918469,1157996.625003649,223131.0275837426,2875.012595544649,9776247.0,0.0041,9050,183340.3230632268,38976,25483,25483,62.22956765208581,836923.6078781637,10237,11807,9316,369.72912778717847,21895767.5086366,2540,4595,2388,1664.868035117864,0
7,51987,0.925,0.8258,0.1045,0.5821,0.847,0.9596,0.2649,0.1126,273157.3892276498,1084766.5661144387,27558059.409546625,1175190.068670197,1270698.8208689704,1405990.3537032395,1592907.2205799352,1934679.3568140815,2671665.064613947,4980438.21202493,11458093.5522461,0.0,716271.8964470505,793619.5118745927,891683.7182075166,1017025.3383651304,1195236.797236881,1532642.6648560797,2263198.8028018745,4461849.821925689,10911778.7737908,27171601.264804315,273157.0,55490,41896,37099,0.7136,1448360.212183023,1231040.879865807,220135.84125034363,2816.508933127509,9700099.0,0.004,8863,181190.18778903972,39198,25483,25483,62.903034359396294,885543.9518215198,10257,11818,9252,384.7488012477369,23345412.739324927,2532,4595,2364,1740.860235033312,0
8,52200,0.9243,0.8328,0.1069,0.5876,0.8531,0.9626,0.2656,0.1094,271174.84345776244,1157976.8276530574,29128943.992948104,1255185.6289951778,1357785.4738254226,1496417.0363830356,1699577.5885287295,2053615.882130911,2783071.9279221776,5173505.057548639,11951455.928240476,0.0,787445.0849772993,873712.9468099824,975859.0332801354,1113822.299611166,1302786.7581756327,1643439.3840809003,2359613.8890761784,4646596.861115273,11359546.721692216,28819325.82009311,271175.0,56322,41904,36989,0.7086,1518068.797790467,1303129.7753711466,217687.94329988654,2748.920880565988,9598458.0,0.0038,8709,179583.82978844718,39388,25484,25484,63.62172520035098,937688.3056801811,10271,11825,9161,399.03890634740793,24611864.135896847,2541,4595,2344,1830.743374311921,0
9,52290,0.924,0.8399,0.1092,0.5944,0.8592,0.9653,0.2649,0.106,269774.7664725325,1231644.1804498716,31088926.183408502,1336074.7313930735,1449600.0328191821,1596911.4571206202,1822046.8117668086,2172382.114042142,2919763.7406377895,5305832.070893459,12447964.406806987,0.0,862400.3823298502,956748.3393391916,1068587.5478128225,1216057.3462705016,1412701.1124001888,1762732.0098505844,2486169.2415865976,4818939.938948722,11999226.436790602,30561954.067073274,269775.0,57166,41916,36886,0.7054,1601541.2234555786,1387999.0690336418,216253.1862968573,2711.0318749206276,9591355.0,0.0038,8486,178816.96451347604,39482,25485,25485,64.37311991450073,995009.9909402165,10276,11836,9086,414.4534788675627,26247952.80990106,2532,4595,2315,1917.3342585710175,0
10,52420,0.9236,0.8457,0.1119,0.6001,0.8643,0.9677,0.2642,0.1034,268877.09314934694,1318076.7284042398,32684106.760319833,1420235.5805504029,1547336.6038208208,1704255.110008291,1936311.748702825,2295519.3033914063,3030673.892464932,5435135.315366899,12989954.23640518,0.0,939269.5277402948,1043365.0420824058,1158255.4725063907,1316555.572658963,1530574.9761507886,1878839.4387164684,2619549.6758623826,4949665.0614119265,12531301.036875943,32041729.392911326,268877.0,58023,41926,36764,0.7013,1678441.0832427035,1466036.4305356569,215050.38167454247,2645.728967495972,9452572.0,0.0037,8242,178165.19494156874,39624,25485,25485,65.08167769688559,1055926.2495626349,10272,11846,8995,429.82066355133526,27764575.857254524,2524,4595,2284,1999.9721931665922,0
11,52527,0.9233,0.8514,0.1141,0.6044,0.8693,0.9698,0.265,0.1005,268464.5921974652,1400060.1200085026,34656701.763026804,1515849.7832504236,1645317.9663545748,1816938.0743315197,2059152.2055422957,2433548.1670972425,3197079.7506821053,5676214.851772998,13681226.22652834,0.0,1018584.7549862799,1132615.688251808,1261937.1887467334,1427757.6929611291,1658764.3296834007,2001650.5192722164,2780514.5864484236,5127740.998912449,13129332.793119986,34112549.724132545,268465.0,58893,41936,36662,0.698,1765081.9155201619,1553336.3480846374,214334.17363247284,2588.606196948454,9423102.0,0.0036,8040,178000.3226134307,39725,25485,25485,65.67433131597514,1118555.6392697399,10289,11856,8920,442.32884552694446,29500428.168827165,2513,4595,2257,2126.55054690664,0
12,52631,0.935,0.8441,0.232,0.5982,0.8623,0.9684,0.2641,0.1062,308734.2810270849,1592291.8260054209,36678298.55864078,1717426.0500712357,1863797.1876911984,2046512.1615778524,2303273.652338531,2700591.0797276096,3481604.81825387,5985188.639617143,14568778.060958976,0.0,838681.7768471572,962461.0453457653,1098787.5909207212,1276333.9020609695,1531499.001344889,1887281.3387309827,2684028.3155511026,5058035.255402302,13476615.431461992,35797018.545326196,308734.0,59776,51806,36557,0.6946,1905503.1452865019,1604167.9269620061,303894.8179378914,2559.5996133958356,9364341.0,0.0035,7790,203892.347367608,39825,25486,25485,66.25535851539996,1264167.5417468494,10304,19505,8842,414.5883570507604,31631711.013389032,2502,6815,2230,2179.4674019440736,0
13,52689,0.9446,0.8357,0.3071,0.5898,0.8539,0.9668,0.2641,0.1129,355044.4231811476,1835109.8708315045,39035601.287246235,1972978.2862895115,2130246.530892136,2326228.3487583986,2603383.915570625,3023461.7981036603,3820432.632191496,6329698.856967771,15312192.17235705,0.0,605758.5909816544,738116.8918755401,891880.3066236973,1083417.8158557157,1345401.5147117493,1725020.7532914863,2548081.2216063365,4872031.825340705,13837028.286042651,37566786.16345481,355044.0,60672,60235,36460,0.692,2055347.2130934217,1651996.0729905474,405893.0864187293,2541.946315855196,9272443.0,0.0034,7569,233827.21418452138,39873,25486,25485,67.0523339887292,1441213.7349568994,10320,25777,8772,387.5283820730435,33692897.05718937,2496,8972,2203,2202.7798717177725,0
